Run, Event, px, py, pz, energy
146436, 90841376, 5.03071, -0.721085, 19.8408, 20.5605
146436, 90841376, -2.54006, -4.38396, 2.60168, 5.77951
146436, 90841376, -0.987247, 4.92369, 64.9984, 65.207
146436, 90841376, -4.77329, 1.04113, -4.12267, 6.54569
146436, 90841376, 1.27631, -4.39232, 142.068, 142.145
146436, 90841376, 2.96203, 2.89731, -57.1731, 57.3356
146436, 90841376, -4.05517, -0.500764, -16.9521, 17.4988
146436, 90841376, -3.44724, 1.87925, -7.5682, 8.5813
146436, 90841376, 2.83996, 2.45673, -15.7112, 16.1686
146436, 90841376, 1.66008, 3.15529, 149.622, 149.669
146436, 90841376, -1.44235, 2.88833, 3.45978, 4.78076
146436, 90841376, 3.05053, -0.291845, -123.745, 123.787
146436, 90841376, 1.31764, -2.71702, -136.482, 136.518
146436, 90845496, -18.3817, 3.06995, -1.78221, 19.1392
146436, 90845496, -0.36178, -4.25328, -7.2119, 8.48222
146436, 90845496, -1.94827, 3.61622, -7.96629, 9.11483
146436, 90845496, 2.29729, -2.6417, -0.890391, 3.71982
146436, 90845496, 3.11524, -0.275666, 0.00373243, 3.27759
146436, 90847800, -9.47654, 17.9302, -9.99846, 23.2284
146436, 90847800, -0.0631589, -15.1681, -13.0462, 20.4348
146436, 90847800, 5.90502, -13.5429, 19.9549, 25.1143
146436, 90847800, 12.7476, 1.72543, -55.2803, 56.865
146436, 90847800, -6.49261, 8.40671, 137.479, 137.919
146436, 90847800, 4.2552, -4.94073, 22.9309, 23.8425
146436, 90847800, 6.04865, 0.979173, -9.92388, 11.8135
146436, 90847800, -1.7218, -5.04926, -11.3096, 12.5968
146436, 90847800, -1.1064, 3.8164, -45.9582, 46.1388
146436, 90847800, 3.87005, -0.583464, 8.22605, 9.17695
146436, 90847800, -2.28764, 2.42007, -14.5671, 14.9751
146436, 90847800, 0.693581, 3.21604, -106.53, 106.583
146436, 90866288, -0.719892, -4.85213, -16.1725, 16.9286
146436, 90866288, -4.405, -1.974, -77.6058, 77.7685
146436, 90866288, -0.859096, 3.1381, -15.0345, 15.3829
146436, 90882608, 11.9773, -17.332, -5.31356, 22.1964
146436, 90882608, -6.60552, 13.8663, -20.5916, 25.8825
146436, 90882608, -8.90229, 4.71559, 102.609, 103.116
146436, 90882608, -3.85593, 5.90506, -177.87, 178.022
146436, 90882608, 5.44373, 4.39867, 49.1641, 49.7257
146436, 90882608, 2.33299, 4.49839, -0.536971, 5.28929
146436, 90882608, -4.18732, -0.130936, 81.7265, 81.8439
146436, 90882608, 3.61862, -1.7557, 90.6226, 90.717
146436, 90882608, 3.79398, 1.0657, -24.0573, 24.414
146436, 90882608, -3.3231, -1.82319, 31.1551, 31.3957
146436, 90882608, 1.34713, -3.4555, 23.3113, 23.6161
146436, 90882608, -3.5079, -0.433671, -10.9104, 11.608
146436, 90882608, -3.04071, 1.7896, 1.45755, 3.92721
146436, 90882608, -1.61892, -3.11388, -2.85569, 4.64515
146436, 90882608, 0.299228, -3.42881, -8.99732, 9.70577
146436, 90882608, 2.18827, 2.42265, 49.877, 49.9917
146436, 90882608, 2.9368, -0.920275, 1.99129, 3.87561
146436, 90882608, 2.65946, -1.5319, 12.6214, 12.9917
146436, 90895144, 18.9965, 3.12546, 22.4699, 29.8595
146436, 90895144, -16.7661, -5.37792, -30.7449, 35.865
146436, 90895144, 13.9824, -1.9195, 3.88054, 15.3245
146436, 90895144, 8.93133, -9.7991, -3.52364, 14.3731
146436, 90895144, 4.87584, 12.0928, 26.1678, 29.6079
146436, 90895144, -6.35059, -9.79897, -45.1502, 46.7602
146436, 90895144, -5.67818, 9.59821, 22.4727, 25.3352
146436, 90895144, 3.43406, 9.62932, -43.2178, 44.5527
146436, 90895144, 2.79095, -9.52792, -121.942, 122.38
146436, 90895144, -7.93628, -2.99897, 3.3272, 9.47922
146436, 90895144, 5.12767, -6.20913, 7.19567, 11.2233
146436, 90895144, -6.79364, 2.73711, 111.095, 111.35
146436, 90895144, 1.0155, 6.58945, -3.65013, 7.77828
146436, 90895144, -1.60897, -6.3179, -13.8496, 15.4985
146436, 90895144, -2.32864, 5.66284, -245.322, 245.405
146436, 90895144, 4.66315, 3.5658, -5.24292, 8.03483
146436, 90895144, 5.81682, -0.566879, -3.25064, 6.88721
146436, 90895144, -5.47314, 1.74147, 8.8794, 10.6908
146436, 90895144, -5.50992, 0.532476, -248.357, 248.424
146436, 90895144, -3.72534, 3.87942, 2.5446, 6.20419
146436, 90895144, 3.87889, -3.70203, -5.51946, 7.89405
146436, 90895144, 2.6752, -4.41236, 24.6709, 25.2434
146436, 90895144, -3.49017, 3.55687, -92.5849, 92.7286
146436, 90895144, -4.32103, -2.43939, 85.527, 85.6807
146436, 90895144, 4.27847, 1.71133, -0.178938, 4.7116
146436, 90895144, 4.2084, -0.616895, -83.7676, 83.8825
146436, 90895144, -1.55931, 3.87572, -6.48252, 7.93539
146436, 90895144, 3.10544, 2.73331, 2.19429, 4.94358
146436, 90895144, 0.238763, 4.0275, -59.6419, 59.7892
146436, 90895144, -2.02285, 3.43954, -0.422818, 4.23666
146436, 90895144, -2.31289, -3.15862, 2.15832, 4.5195
146436, 90895144, 1.80461, 3.19277, -7.59979, 8.51309
146436, 90895144, -3.3238, 0.672, -3.45187, 4.96789
146436, 90895144, 0.757264, -3.24431, 0.7035, 3.46647
