Run, Event, particleType, px, py, pz, energy, pt
146436, 90626440, 1, -0.316485, -0.0754882, 1.54816, 1.58813, 0.325363
146436, 90626440, 1, 0.517971, 0.0752551, 1.0183, 1.15342, 0.523409
146436, 90626440, 5, -0.0251242, -0.721691, 5.80686, 5.85159, 0.722128
146436, 90626440, 1, 1.1765, 0.253537, 0.810882, 1.45789, 1.20351
146436, 90626440, 1, 0.548782, 0.0720417, -0.675116, 0.884089, 0.55349
146436, 90626440, 1, 0.364312, 0.36173, -0.183734, 0.562859, 0.513392
146436, 90626440, 1, 0.1768, 0.403061, -0.321177, 0.562451, 0.440133
146436, 90626440, 5, 0.43309, 0.0609922, -2.81335, 2.84715, 0.437364
146436, 90626440, 1, 0.099264, 0.573001, -1.16899, 1.31309, 0.581536
146436, 90626440, 1, 0.0846647, 0.510075, -0.21905, 0.578626, 0.517054
146436, 90626440, 1, -0.189132, 0.37665, -0.405868, 0.601535, 0.421469
146436, 90626440, 1, -0.541503, 0.28538, 0.0367364, 0.628886, 0.612101
146436, 90626440, 1, -0.525169, 0.00624234, -0.276862, 0.609896, 0.525206
146436, 90626440, 1, -0.0407348, 0.257187, -1.4128, 1.44336, 0.260393
146436, 90626440, 1, 0.42488, 0.383546, -0.68195, 0.901202, 0.57239
146436, 90626440, 5, 0.250278, 0.116827, -2.54703, 2.56196, 0.276202
146436, 90626440, 1, -0.297824, -0.353532, -0.558174, 0.738053, 0.46226
146436, 90626440, 1, 1.08704, -0.278484, -1.71012, 2.05017, 1.12214
146436, 90626440, 1, -1.10524, -0.981126, 9.58487, 9.69914, 1.4779
146436, 90626440, 4, -0.208675, -0.279281, 2.2305, 2.25758, 0.34863
146436, 90626440, 1, 0.306579, -0.261664, -1.19613, 1.2699, 0.403062
146436, 90626440, 1, 0.347384, -0.394221, -1.12084, 1.24574, 0.525439
146436, 90626440, 5, 0.341489, 0.735692, -7.4679, 7.51182, 0.811084
146436, 90626440, 5, -0.295189, 2.39227, -20.7095, 20.8493, 2.41041
146436, 90626440, 5, -0.135659, 0.289569, -2.46636, 2.487, 0.319772
146436, 90626440, 1, 0.586181, -0.0570876, -1.61754, 1.72707, 0.588954
146436, 90626440, 1, -0.44417, 0.132285, -2.31882, 2.3688, 0.463451
